 zone T = "Var            1 : IMEX",
-0.23000E+01  0.11973E+00
-0.24000E+01  0.11927E+00
-0.25000E+01  0.11888E+00
-0.26000E+01  0.11856E+00
-0.27000E+01  0.11830E+00
-0.28000E+01  0.11809E+00
-0.29000E+01  0.11792E+00
-0.30000E+01  0.11778E+00
-0.31000E+01  0.11767E+00
-0.32000E+01  0.11758E+00
-0.33000E+01  0.11751E+00
-0.34000E+01  0.11746E+00
-0.35000E+01  0.11741E+00
-0.36000E+01  0.11737E+00
-0.37000E+01  0.11735E+00
-0.38000E+01  0.11732E+00
-0.39000E+01  0.11731E+00
-0.40000E+01  0.11729E+00
-0.41000E+01  0.11728E+00
-0.42000E+01  0.11727E+00
-0.43000E+01  0.11726E+00
-0.44000E+01  0.11726E+00
-0.45000E+01  0.11725E+00
-0.46000E+01  0.11725E+00
-0.47000E+01  0.11725E+00
-0.48000E+01  0.11724E+00
-0.49000E+01  0.11724E+00
-0.50000E+01  0.11724E+00
-0.51000E+01  0.11724E+00
-0.52000E+01  0.11724E+00
-0.53000E+01  0.11724E+00
-0.54000E+01  0.11724E+00
-0.55000E+01  0.11724E+00
-0.56000E+01  0.11724E+00
-0.57000E+01  0.11724E+00
-0.58000E+01  0.11724E+00
-0.59000E+01  0.11724E+00
-0.60000E+01  0.11724E+00
-0.61000E+01  0.11724E+00
-0.62000E+01  0.11724E+00
-0.63000E+01  0.11724E+00
-0.64000E+01  0.11724E+00
-0.65000E+01  0.11724E+00
-0.66000E+01  0.11724E+00
-0.67000E+01  0.11724E+00
-0.68000E+01  0.11724E+00
-0.69000E+01  0.11724E+00
-0.70000E+01  0.11724E+00
-0.71000E+01  0.11724E+00
-0.72000E+01  0.11724E+00
-0.73000E+01  0.11724E+00
-0.74000E+01  0.11724E+00
-0.75000E+01  0.11724E+00
-0.76000E+01  0.11724E+00
-0.77000E+01  0.11724E+00
-0.78000E+01  0.11724E+00
-0.79000E+01  0.11724E+00
-0.80000E+01  0.11724E+00
 zone T = "Var            4 : Predicted",
 0.00000E+00  0.67797E+00
-0.10000E+00  0.68280E+00
-0.20000E+00  0.68885E+00
-0.30000E+00  0.69638E+00
-0.40000E+00  0.70575E+00
-0.50000E+00  0.71737E+00
-0.60000E+00  0.73168E+00
-0.70000E+00  0.74923E+00
-0.80000E+00  0.77057E+00
-0.90000E+00  0.79623E+00
-0.10000E+01  0.82666E+00
-0.11000E+01  0.86205E+00
-0.12000E+01  0.90221E+00
-0.13000E+01  0.94628E+00
-0.14000E+01  0.99264E+00
-0.15000E+01  0.10388E+01
-0.16000E+01  0.10820E+01
-0.17000E+01  0.11196E+01
-0.18000E+01  0.11499E+01
-0.19000E+01  0.11729E+01
-0.20000E+01  0.11895E+01
-0.21000E+01  0.12012E+01
-0.22000E+01  0.12092E+01
-0.23000E+01  0.12147E+01
-0.24000E+01  0.12185E+01
-0.25000E+01  0.12211E+01
-0.26000E+01  0.12227E+01
-0.27000E+01  0.12238E+01
-0.28000E+01  0.12244E+01
-0.29000E+01  0.12248E+01
-0.30000E+01  0.12249E+01
-0.31000E+01  0.12250E+01
-0.32000E+01  0.12250E+01
-0.33000E+01  0.12249E+01
-0.34000E+01  0.12249E+01
-0.35000E+01  0.12248E+01
-0.36000E+01  0.12247E+01
-0.37000E+01  0.12247E+01
